Số phiếu,Ngày chứng từ(mm/dd/yyyy),Ngày xuất(mm/dd/yyyy),Mã FG,Đvt,Số lượng(Thùng),Số lượng(Pcs),Kho nhận,Địa chỉ,Mã AR
PXB25110053 - K1337,03/11/2025,04/11/2025,500VS29,Ctn / Polybag,30.00,"2,400",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,517VS29,Ctn / Polybag,7.50,600,SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,519VS29,Ctn / Polybag,7.50,600,SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,524T,Ctn / Polybag,15.00,"1,200",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,031T,Ctn / Polybag,15.00,"1,500",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,033T,Ctn / Polybag,15.00,"1,500",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,037T,Ctn / Polybag,15.00,"1,500",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
PXB25110053 - K1337,03/11/2025,04/11/2025,521T,Ctn / Polybag,22.50,"1,800",SEBANG,"Tô 3, Khối 5, Phường Kỳ Lừa, Tỉnh Lạng Sơn",
